airlineIataCode,airlineName,airlineName_trimmed
MZ,아마쿠사 항공,아마쿠사항공
YJ,AMC 항공,AMC항공
8R,아멜리아항공,아멜리아항공
NL,에어로4M,에어로4M
AA,아메리칸 항공,아메리칸항공
A8,아메리라이트,아메리라이트
M6,아메리제트 인터내셔널,아메리제트인터내셔널
EH,아나 윙즈,아나윙즈
O4,안데스리네아스애리아,안데스리네아스애리아
2G,앙공라 항공,앙공라항공
Q3,앙구일라 에어서비스,앙구일라에어서비스
A2,애니마윙스,애니마윙스
GP,APG 항공,APG항공
DM,아라젯,아라젯
FG,아리아나 아프간 항공,아리아나아프간항공
W3,아리크 항공,아리크항공
IZ,앨키나 이스라엘 항공,앨키나이스라엘항공
6A,아르메니아 에어웨이,아르메니아에어웨이
AG,아루바 항공,아루바항공
GM,아시아 카고 항공,아시아카고항공
P9,아시아 태평양 항공,아시아태평양항공
OZ,아시아나 항공,아시아나항공
4K,아스카리 에비에이션,아스카리에비에이션
KP,아스키 항공,아스키항공
PH,ASL 오스트레일리아 항공,ASL오스트레일리아항공
3V,ASL 벨기에 항공,ASL벨기에항공
5O,ASL 프랑스 항공,ASL프랑스항공
0A,아스타 항공,아스타항공
8V,아스트랄 항공,아스트랄항공
I3,ATA 이란 항공,ATA이란항공
RC,아틀랜틱 에어웨이,아틀랜틱에어웨이
5Y,아틀라스 에어,아틀라스에어
V8,아트란,아트란
4A,ATSA 페루,ATSA페루
UI,오릭스 에어서비스,오릭스에어서비스
GR,오리니 에어서비스,오리니에어서비스
HZ,오로라,오로라
OS,오스트리안 항공,오스트리안항공
XP,아벨로항공,아벨로항공
YK,아비아 트래픽 컴퍼니,아비아트래픽컴퍼니
ZR,아비아콘지오트랜스,아비아콘지오트랜스
GD,에비에어,에비에어
AV,아비앙카 항공,아비앙카항공
A0,아비앙카 아르헨티나,아비앙카아르헨티나
QT,아비앙카 카고,아비앙카카고
LR,아비앙카 코스타리카,아비앙카코스타리카
2K,아비앙카 에콰도르,아비앙카에콰도르
TA,아비앙카 엘살바도르,아비앙카엘살바도르
GU,아비앙카 과테말라,아비앙카과테말라
WC,아비앙카 온두라스,아비앙카온두라스
4B,아비아스타-TU,아비아스타-TU
JU,아비올레,아비올레
X9,아비온 익스프레스,아비온익스프레스
4X,아비온 익스프레스 몰타,아비온익스프레스몰타
9V,아비어 항공,아비어항공
A7,어썸 카고,어썸카고
J2,아젤바이잔 항공,아젤바이잔항공
S4,아조레스 항공,아조레스항공
AJ,아즈텍 항공,아즈텍항공
