airlineIataCode,airlineName,airlineName_trimmed
8Y,팬퍼시픽 항공,팬퍼시픽항공
5P,파노라마 항공,파노라마항공
HI,필리핀 그랜드캐년 헬리콥터,필리핀그랜드캐년헬리콥터
ZP,파라네어,파라네어
P6,파스칸 항공,파스칸항공
OP,패션에어,패션에어
MM,피치 항공,피치항공
PC,페가수스 항공,페가수스항공
IP,펠리타 항공 서비스,펠리타항공서비스
PE,피폴즈 항공,피폴즈항공
UF,페트롤리움 에어 서비스,페트롤리움에어서비스
PR,필리핀 항공,필리핀항공
Z2,필리핀 에어아시아,필리핀에어아시아
PT,피드 몬트 항공,피드몬트항공
OG,플레이 항공,플레이항공
PU,플러스 울트라 항공,플러스울트라항공
CG,PNG 항공,PNG항공
DP,포베다 항공,포베다항공
PO,폴라 에어 카고,폴라에어카고
PI,폴라 항공,폴라항공
HP,포풀에어,포풀에어
PD,포터 항공,포터항공
NI,포튜갈리아 항공,포튜갈리아항공
M4,미스트랄 항공,미스트랄항공
6P,프라단 에어 익스프레스,프라단에어익스프레스
PW,프리시즌 항공서비스,프리시즌항공서비스
3X,프리미어 트랜스 에어,프리미어트랜스에어
E3,프리마 항공 트라스포티 이탈리아니,프리마항공트라스포티이탈리아니
P6,프리빌리지스타일,프리빌리지스타일
P0,프로플라이트 잠비아,프로플라이트잠비아
OH,PSA 항공,PSA항공
Z4,푸마 항공,푸마항공
HH,카나트 샤크 항공,카나트샤크항공
QF,콴타스 항공,콴타스항공
QR,카타르 항공,카타르항공
IQ,카자흐 항공,카자흐항공
QB,케심 항공,케심항공
QW,칭다오 항공,칭다오항공
QA,퀸 빌키스 항공,퀸빌키스항공
QO,퀵젯 항공,퀵젯항공
R4,라노 에어,라노에어
TH,라야 항공,라야항공
L5,레드 에어,레드에어
4S,홍해 항공,홍해항공
WZ,레더윙즈,레더윙즈
8N,리저널 항공 서비스,리저널항공서비스
EX,리저널 익스프레스 아메리카,리저널익스프레스아메리카
4P,리저널 스카이,리저널스카이
L0,릴라이언트 에어 차터,릴라이언트에어차터
YX,리퍼블릭 항공,리퍼블릭항공
ZL,렉스 항공,렉스항공
RI,림분 에어,림분에어
NJ,룸카고,룸카고
FV,로시야 항공,로시야항공
RG,로타나 제트 항공,로타나제트항공
AT,로얄 모로코 항공,로얄모로코항공
RW,로얄 에어 필리핀,로얄에어필리핀
BI,로얄 브루나이 항공,로얄브루나이항공
RJ,로얄 요르단 항공,로얄요르단항공
3Q,로얄 잠비아 항공,로얄잠비아항공
R0,루스키 에어로 인도네시아,루스키에어로인도네시아
7R,루스라인,루스라인
5R,루타카 항공,루타카항공
WB,르완다 항공,르완다항공
7S,라이언 에어서비스,라이언에어서비스
FR,라이언에어,라이언에어
RK,라이언에어 영국,라이언에어영국
S7,S7 항공,S7항공
FA,사페어,사페어
ZF,사파리 익스프레스 카고,사파리익스프레스카고
F2,사파리 링크 항공,사파리링크항공
K3,세이프 에어 컴퍼니,세이프에어컴퍼니
PV,세인트바스 커뮤터,세인트바스커뮤터
OV,살람 에어,살람에어
SO,살사 다아이티,살사다아이티
OL,사모아 에어웨이,사모아에어웨이
RZ,SANSA 항공,SANSA항공
SK,SAS 랑공,SAS랑공
SL,SAS 연결,SAS연결
SP,SATA 에어 아조레스,SATA에어아조레스
9R,사테나 항공,사테나항공
SV,사우디아 항공,사우디아항공
DV,스캇 항공,스캇항공
YR,시닉 항공,시닉항공
TR,스쿳,스쿳
BB,시본 항공,시본항공
XO,씨에어 인터내셔널,씨에어인터내셔널
IS,세페란항공,세페란항공
ER,세린 에어,세린에어
D2,세버스탈 에어컴퍼니,세버스탈에어컴퍼니
O3,SF 항공,SF항공
SC,산동 항공,산동항공
FM,상해 항공,상해항공
SH,샤프 항공,샤프항공
ZH,선전 항공,선전항공
5G,시라크 항공,시라크항공
N9,슈리 항공,슈리항공
3U,쓰촨 항공,쓰촨항공
SI,시에라 퍼시픽 항공,시에라퍼시픽항공
US,실크 아비아,실크아비아
ZP,실크웨이 항공,실크웨이항공
7L,실크웨이 웨스트 항공,실크웨이웨스트항공
3M,실버항공,실버항공
SQ,싱가포르 항공,싱가포르항공
SQ,싱가포르 화물항공,싱가포르화물항공
HK,스키퍼스 항공,스키퍼스항공
H2,스카이 칠레 항공,스카이칠레항공
BQ,스카이 알프스 항공,스카이알프스항공
ZA,스카이 앙코르 항공,스카이앙코르항공
RD,스카이 카나,스카이카나
GQ,스카이 익스프레스,스카이익스프레스
U3,스카이게이트 항공,스카이게이트항공
ML,스카이 말리,스카이말리
H8,스카이 페루,스카이페루
A7,스카이 셔틀 헬리콥터스 리미티드,스카이셔틀헬리콥터스리미티드
S8,스카이 항공,스카이항공
DO,스카이하이 도미니카나,스카이하이도미니카나
M8,스카이제트 항공,스카이제트항공
GG,스카이리스 카고,스카이리스카고
QU,스카이라인 익스프레스,스카이라인익스프레스
BC,스카이마크 항공,스카이마크항공
TE,스카이택시,스카이택시
QN,스카이트랜스,스카이트랜스
PQ,스카이업,스카이업
U5,스카이업 MT,스카이업MT
OW,스카이워드 익스프레스,스카이워드익스프레스
SR,스카이웨어 항공,스카이웨어항공
LC,스카이웨이 코스타리카,스카이웨이코스타리카
OO,스카이웨스트 항공,스카이웨스트항공
5N,스마타비아,스마타비아
6Y,스마트링스 항공,스마트링스항공
2N,스마트링스 항공 몰타,스마트링스항공몰타
QS,스마트윙스,스마트윙스
7O,스마트윙스 헝가리,스마트윙스헝가리
3Z,스마트윙스 폴란드,스마트윙스폴란드
6D,스마트윙스 슬로바키아,스마트윙스슬로바키아
2E,스모키베이 에어,스모키베이에어
6J,솔라시드 에어,솔라시드에어
FW,솔렌타 항공 모잠비크,솔렌타항공모잠비크
SP,솔리네어,솔리네어
IE,솔로몬 항공,솔로몬항공
SZ,소몬에어,소몬에어
SK,송버드 항공,송버드항공
SA,남아프리카 항공,남아프리카항공
PL,서던에어 차터,서던에어차터
9X,서던 익스프레스 항공,서던익스프레스항공
IH,서던 스카이 항공,서던스카이항공
WN,사우스웨스트 항공,사우스웨스트항공
2S,사우스윈드 항공,사우스윈드항공
Y3,스페이스비 에어라인즈,스페이스비에어라인즈
SG,스파이스 제트,스파이스제트
SG,스파이스 익스프레스,스파이스익스프레스
NK,스피릿 항공,스피릿항공
9C,춘추 항공,춘추항공
IJ,일본 춘추 항공,일본춘추항공
P8,스프린트 에어,스프린트에어
UL,스리랑카 항공,스리랑카항공
SJ,수르위자야 항공,수르위자야항공
4E,스타보에어,스타보에어
S5,스타 에어 인도,스타에어인도
4R,스타이스트 항공,스타이스트항공
2I,스타 페루,스타페루
7G,스타플라이어,스타플라이어
JX,스타룩스 항공,스타룩스항공
8F,STP 항공,STP항공
SD,수단 항공,수단항공
SY,선 컨트리 항공,선컨트리항공
LY,선도르 국제항공,선도르국제항공
EZ,선에어 스칸디나비아,선에어스칸디나비아
DR,수난 루이리 항공,수난루이리항공
DK,선클래스 항공,선클래스항공
SR,선데어,선데어
R8,선댄스 항공 베네수엘라,선댄스항공베네수엘라
XQ,썬익스프레스,썬익스프레스
2R,선라이트 항공,선라이트항공
S6,선라이즈 항공,선라이즈항공
YH,선스플래시 항공 LLC,선스플래시항공LLC
WG,선윙 항공,선윙항공
Y8,수파르나 항공,수파르나항공
IU,슈퍼에어 제트,슈퍼에어제트
PY,수리남 항공,수리남항공
WT,스위프트에어,스위프트에어
LX,스위스 국제 항공,스위스국제항공
7E,실트 에어,실트에어
RB,시리아 항공,시리아항공
DT,TAAG 항공,TAAG항공
T0,TACA 페루,TACA페루
TI,테일윈드 항공,테일윈드항공
EQ,TAME 항공,TAME항공
Z3,타나나 에어서비스,타나나에어서비스
TP,TAP 항공 포르투갈,TAP항공포르투갈
TP,TAP 익스프레스,TAP익스프레스
K3,타취안 항공,타취안항공
YQ,TAR 멕시코,TAR멕시코
3T,타르코 항공,타르코항공
RO,TAROM 항공,TAROM항공
HJ,타즈만 카고 항공,타즈만카고항공
SF,타실리 항공,타실리항공
TD,트빌리시 항공,트빌리시항공
FD,타이 에어아시아,타이에어아시아
XJ,타이 에어아시아 X,타이에어아시아X
TG,타이 항공,타이항공
SL,타이 라이온 에어,타이라이온에어
VZ,타이 비엣젯 항공,타이비엣젯항공
HT,천진 항공 화물,천진항공화물
GS,천진 항공,천진항공
TV,티베트 항공,티베트항공
IT,타이거에어 타이완,타이거에어타이완
ZT,타이탄 항공,타이탄항공
TM,타이탄 항공 몰타,타이탄항공몰타
BV,토키 항공,토키항공
C3,트레이드 항공,트레이드항공
TJ,트레이드윈드 항공,트레이드윈드항공
Q8,트랜스에어 콩고,트랜스에어콩고
R2,트랜스에어 세네갈,트랜스에어세네갈
HV,트랜스아비아,트랜스아비아
TO,트랜스아비아 프랑스,트랜스아비아프랑스
T7,트랜스카르가 국제항공,트랜스카르가국제항공
8B,트랜스누사 항공 서비스,트랜스누사항공서비스
2L,볼리비아 항공 운송,볼리비아항공운송
5U,과테말라 항공 운송,과테말라항공운송
IL,트리가나 에어,트리가나에어
9N,트로픽 항공,트로픽항공
BY,TUI 항공,TUI항공
X3,TUI 플라이,TUI플라이
TB,TUI 플라이 벨기에,TUI플라이벨기에
OR,TUI 플라이 네덜란드,TUI플라이네덜란드
6B,TUI 플라이 노르딕,TUI플라이노르딕
TU,튀니지 항공,튀니지항공
UG,튀니지 항공 익스프레스,튀니지항공익스프레스
TK,터키 항공,터키항공
T5,투르크메니스탄 항공,투르크메니스탄항공
T9,투르피알 항공,투르피알항공
U8,투스 항공,투스항공
TW,티웨이 항공,티웨이항공
T7,트윈 제트,트윈제트
UR,우간다 항공,우간다항공
GO,ULS 화물항공,ULS화물항공
UE,얼티밋 에어 셔틀,얼티밋에어셔틀
UE,얼티밋 제트 차터,얼티밋제트차터
UF,유엠 항공,유엠항공
B7,유니 항공,유니항공
6U,유니크 에어,유니크에어
UA,유나이티드 항공,유나이티드항공
U7,유니월드에어카고,유니월드에어카고
5X,UPS,UPS
UD,UR 항공,UR항공
U6,우랄 항공,우랄항공
UQ,우루무치 항공,우루무치항공
UJ,USA 제트 항공,USA제트항공
BS,US 방글라 항공,US방글라항공
UT,유테어 항공,유테어항공
RT,UVT 항공,UVT항공
HY,우즈베키스탄 항공,우즈베키스탄항공
VK,밸류제트,밸류제트
V9,밴에어 유럽,밴에어유럽
V4,벤세카 인터내셔널,벤세카인터내셔널
V6,VI 에어링크,VI에어링크
V4,비에케스 에어링크,비에케스에어링크
VJ,비엣젯 항공,비엣젯항공
0V,베트남 항공 서비스,베트남항공서비스
VN,베트남 항공,베트남항공
VU,비엣트래블 항공,비엣트래블항공
VP,빌라에어,빌라에어
VS,버진 애틀랜틱 항공,버진애틀랜틱항공
VA,버진 오스트레일리아,버진오스트레일리아
XR,버진 오스트레일리아 지역 항공,버진오스트레일리아지역항공
VB,비바 항공,비바항공
2Z,VOEPASS 항공,VOEPASS항공
Y4,볼라리스 항공,볼라리스항공
Q6,볼라리스 코스타리카,볼라리스코스타리카
N3,볼라리스 엘살바도르,볼라리스엘살바도르
VI,볼가-드뇌프르 항공,볼가-드뇌프르항공
V7,볼로테아,볼로테아
VY,부엘링 항공,부엘링항공
MW,왈칭 마틸다 항공,왈칭마틸다항공
EB,와모스 항공,와모스항공
4W,워보로우즈 에어 벤처스,워보로우즈에어벤처스
WP,와사야 항공,와사야항공
PN,웨스트 에어,웨스트에어
T2,웨스트 애틀란틱,웨스트애틀란틱
WU,웨스턴 항공,웨스턴항공
KD,웨스턴 글로벌 항공,웨스턴글로벌항공
WS,웨스트제트,웨스트제트
WR,웨스트제트 앙코르,웨스트제트앙코르
WI,화이트항공,화이트항공
WF,위데뢰에 항공,위데뢰에항공
WM,윈에어,윈에어
7W,윈드로즈 항공,윈드로즈항공
P5,윙고 항공,윙고항공
WH,윙고 파나마,윙고파나마
IW,윙즈 에어,윙즈에어
W6,위즈 에어,위즈에어
5W,위즈 에어 아부다비,위즈에어아부다비
W4,위즈 에어 몰타,위즈에어몰타
W9,위즈 에어 영국,위즈에어영국
WL,월드 아틀랜틱 항공,월드아틀랜틱항공
3G,월드 카고 항공,월드카고항공
2W,월드투플라이,월드투플라이
3P,월드투플라이 포르투갈,월드투플라이포르투갈
8V,라이트 에어 서비스,라이트에어서비스
4U,제제트 항공,제제트항공
MF,샤먼 항공,샤먼항공
R3,야쿠티아 항공,야쿠티아항공
YC,야말 항공,야말항공
YE,야 에어,야에어
IY,예메니아,예메니아
YT,예티 항공,예티항공
YG,YTO 화물항공,YTO화물항공
7Z,Z 에어,Z에어
ZN,잠비아 항공,잠비아항공
ZK,제트 아비아,제트아비아
XM,지멕스 항공,지멕스항공
ZG,집 에어,집에어
ZO,줌 항공,줌항공
